epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
47,116.21,1.61557,3.16735,1.23893,0,0,0,0,0,5.62864,0,0.000506478,0.000506478,0.000506478
48,118.621,1.43197,2.811,1.02636,0,0,0,0,0,5.62864,0,0.000507965,0.000507965,0.000507965
49,121.094,1.54602,2.91262,1.20272,0,0,0,0,0,5.62864,0,0.000509056,0.000509056,0.000509056
50,123.555,1.6166,2.8971,1.10849,0,0,0,0,0,5.62864,0,0.000509751,0.000509751,0.000509751
51,125.962,1.55857,2.71913,1.10894,0,0,0,0,0,5.47392,0,0.000505,0.000505,0.000505
52,128.433,1.76046,2.7297,1.23933,0,0,0,0,0,5.47392,0,0.0004951,0.0004951,0.0004951
53,131.058,1.57631,2.58964,1.21957,0,0,0,0,0,5.47392,0,0.0004852,0.0004852,0.0004852
54,135.877,1.45398,2.68153,1.05398,0,0,0,0,0,5.47392,0,0.0004753,0.0004753,0.0004753
55,138.604,1.35161,2.52808,1.03347,0,0,0,0,0,5.47392,0,0.0004654,0.0004654,0.0004654
56,141.233,1.72989,2.61939,1.15588,0,0,0,0,0,5.47392,0,0.0004555,0.0004555,0.0004555
57,143.939,1.8398,2.95504,1.24372,0,0,0,0,0,5.47392,0,0.0004456,0.0004456,0.0004456
58,146.437,1.55171,2.72814,1.14518,0,0,0,0,0,5.47392,0,0.0004357,0.0004357,0.0004357
59,149.236,1.63811,2.82406,1.15291,0,0,0,0,0,5.33784,0,0.0004258,0.0004258,0.0004258
60,151.885,1.52449,2.39401,1.12138,0,0,0,0,0,5.33784,0,0.0004159,0.0004159,0.0004159
61,154.727,1.46287,2.46407,1.07282,0,0,0,0,0,5.33784,0,0.000406,0.000406,0.000406
62,158.013,1.50526,2.69164,1.06629,0,0,0,0,0,5.33784,0,0.0003961,0.0003961,0.0003961
63,160.415,1.39241,2.49043,1.07825,0,0,0,0,0,5.33784,0,0.0003862,0.0003862,0.0003862
64,162.726,1.68118,2.46721,1.14158,0,0,0,0,0,5.33784,0,0.0003763,0.0003763,0.0003763
65,165.044,1.6805,2.7049,1.12969,0,0,0,0,0,5.33784,0,0.0003664,0.0003664,0.0003664
66,167.892,1.51709,2.64041,1.11348,0,0,0,0,0,5.33784,0,0.0003565,0.0003565,0.0003565
67,170.485,1.42302,2.4744,1.01829,0,0,0,0,0,5.25382,0,0.0003466,0.0003466,0.0003466
68,173.138,1.28713,2.38025,1.08245,0,0,0,0,0,5.25382,0,0.0003367,0.0003367,0.0003367
69,175.749,1.73175,2.53812,1.04946,0,0,0,0,0,5.25382,0,0.0003268,0.0003268,0.0003268
70,178.01,1.58055,3.24702,1.32332,0,0,0,0,0,5.25382,0,0.0003169,0.0003169,0.0003169
71,180.223,1.66397,2.38579,1.14894,0,0,0,0,0,5.25382,0,0.000307,0.000307,0.000307
72,182.797,1.60844,2.33714,1.07625,0,0,0,0,0,5.25382,0,0.0002971,0.0002971,0.0002971
73,185.108,1.59477,2.60264,1.12466,0,0,0,0,0,5.25382,0,0.0002872,0.0002872,0.0002872
74,187.377,1.73788,2.539,1.06398,0,0,0,0,0,5.25382,0,0.0002773,0.0002773,0.0002773
75,189.856,1.48312,2.2602,1.06157,0,0,0,0,0,5.27767,0,0.0002674,0.0002674,0.0002674
76,192.16,1.60626,3.33394,1.0837,0,0,0,0,0,5.27767,0,0.0002575,0.0002575,0.0002575
77,194.475,1.41384,2.2401,1.15005,0,0,0,0,0,5.27767,0,0.0002476,0.0002476,0.0002476
78,196.88,1.66061,2.59218,1.11658,0,0,0,0,0,5.27767,0,0.0002377,0.0002377,0.0002377
79,199.219,1.39391,2.25022,1.15852,0,0,0,0,0,5.27767,0,0.0002278,0.0002278,0.0002278
80,201.739,1.45289,2.43849,1.05997,0,0,0,0,0,5.27767,0,0.0002179,0.0002179,0.0002179
81,204.102,1.63092,2.51947,1.09091,0,0,0,0,0,5.27767,0,0.000208,0.000208,0.000208
82,206.423,1.46226,2.29763,1.04646,0,0,0,0,0,5.27767,0,0.0001981,0.0001981,0.0001981
83,208.781,1.48351,2.39936,1.11008,0,0,0,0,0,5.38413,0,0.0001882,0.0001882,0.0001882
84,211.244,1.33318,2.46115,1.09855,0,0,0,0,0,5.38413,0,0.0001783,0.0001783,0.0001783
85,213.708,1.68293,2.33701,1.07817,0,0,0,0,0,5.38413,0,0.0001684,0.0001684,0.0001684
86,215.999,1.39159,2.13965,1.03799,0,0,0,0,0,5.38413,0,0.0001585,0.0001585,0.0001585
87,218.258,1.37197,2.23117,1.05261,0,0,0,0,0,5.38413,0,0.0001486,0.0001486,0.0001486
88,220.613,1.36433,2.48963,1.10093,0,0,0,0,0,5.38413,0,0.0001387,0.0001387,0.0001387
89,222.945,1.4272,2.88619,0.97939,0,0,0,0,0,5.38413,0,0.0001288,0.0001288,0.0001288
90,225.271,1.30843,2.1314,1.06449,0,0,0,0,0,5.38413,0,0.0001189,0.0001189,0.0001189
91,227.86,1.28403,2.22313,1.15643,0,0,0,0,0,5.6065,0,0.000109,0.000109,0.000109
92,230.369,1.30421,2.37778,1.09253,0,0,0,0,0,5.6065,0,9.91e-05,9.91e-05,9.91e-05
93,233.008,1.2961,2.21519,1.11811,0,0,0,0,0,5.6065,0,8.92e-05,8.92e-05,8.92e-05
94,235.474,1.55082,2.39191,1.06051,0,0,0,0,0,5.6065,0,7.93e-05,7.93e-05,7.93e-05
95,237.803,1.30468,2.06826,1.07206,0,0,0,0,0,5.6065,0,6.94e-05,6.94e-05,6.94e-05
96,240.09,1.43564,2.39988,1.00869,0,0,0,0,0,5.6065,0,5.95e-05,5.95e-05,5.95e-05
97,242.529,1.57487,2.46312,1.17596,0,0,0,0,0,5.6065,0,4.96e-05,4.96e-05,4.96e-05
98,244.922,1.26097,2.20674,1.06421,0,0,0,0,0,5.6065,0,3.97e-05,3.97e-05,3.97e-05
99,247.291,1.44544,2.49663,1.03494,0,0,0,0,0,6.13519,0,2.98e-05,2.98e-05,2.98e-05
100,249.767,1.43842,2.22075,1.04073,0,0,0,0,0,6.13519,0,1.99e-05,1.99e-05,1.99e-05
